x_m,y_m,samples,dwell_s
0.05,0.05,1,0.099845
0.15000000000000002,0.05,303,30.300355
2.45,1.45,343,34.300051
2.75,1.45,189,18.899841
2.85,1.45,4,0.399966
2.95,1.45,1,0.099846
2.45,1.55,2,0.200087
2.55,1.55,2,0.200023
2.95,1.55,1,0.100086
3.05,1.55,2,0.200126
3.1500000000000004,1.55,2,0.199714
3.25,1.55,2,0.20022
3.35,1.55,1,0.100102
4.65,1.55,1,0.100235
4.750000000000001,1.55,1,0.100093
4.8500000000000005,1.55,2,0.19999
4.950000000000001,1.55,5,0.4999
5.050000000000001,1.55,11,1.099923
5.15,1.55,3,0.299949
5.250000000000001,1.55,4,0.399978
5.3500000000000005,1.55,3,0.300217
5.450000000000001,1.55,1,0.099941
2.55,1.65,3,0.299856
2.6500000000000004,1.65,1,0.100138
3.35,1.65,1,0.099954
3.45,1.65,2,0.199859
3.55,1.65,3,0.300053
3.6500000000000004,1.65,2,0.20002
3.75,1.65,1,0.099821
4.450000000000001,1.65,2,0.200416
4.550000000000001,1.65,3,0.299873
4.65,1.65,1,0.099804
5.450000000000001,1.65,3,0.300025
5.550000000000001,1.65,3,0.299788
2.6500000000000004,1.75,3,0.299701
3.75,1.75,1,0.100192
3.85,1.75,2,0.200033
3.95,1.75,2,0.19987
4.050000000000001,1.75,3,0.30012
4.15,1.75,3,0.299822
4.25,1.75,3,0.300202
4.3500000000000005,1.75,2,0.199617
5.550000000000001,1.75,1,0.100097
5.65,1.75,4,0.400197
2.75,1.85,3,0.300259
2.85,1.85,2,0.199853
3.85,1.85,2,0.200025
3.95,1.85,2,0.200059
4.050000000000001,1.85,2,0.199902
4.15,1.85,1,0.099979
4.25,1.85,2,0.200133
4.3500000000000005,1.85,2,0.200003
4.450000000000001,1.85,2,0.199873
5.65,1.85,1,0.099761
5.750000000000001,1.85,3,0.300135
2.95,1.95,3,0.300054
3.05,1.95,2,0.200054
3.1500000000000004,1.95,2,0.19988
3.25,1.95,1,0.099925
3.35,1.95,2,0.199813
3.45,1.95,3,0.300085
3.55,1.95,2,0.200226
3.6500000000000004,1.95,2,0.199849
3.75,1.95,2,0.199854
3.85,1.95,1,0.100008
4.450000000000001,1.95,1,0.100236
4.550000000000001,1.95,2,0.200014
4.65,1.95,2,0.200022
4.750000000000001,1.95,3,0.299966
5.750000000000001,1.95,2,0.200002
5.8500000000000005,1.95,2,0.199969
3.25,2.05,1,0.100177
4.8500000000000005,2.05,2,0.199984
4.950000000000001,2.05,2,0.200006
5.050000000000001,2.05,2,0.199821
5.8500000000000005,2.05,3,0.299806
5.15,2.1500000000000004,3,0.300001
5.250000000000001,2.1500000000000004,2,0.200126
5.8500000000000005,2.1500000000000004,2,0.200256
5.950000000000001,2.1500000000000004,2,0.199903
6.3500000000000005,2.1500000000000004,295,29.4999
6.450000000000001,2.1500000000000004,1036,103.600125
5.3500000000000005,2.25,2,0.19993
5.450000000000001,2.25,3,0.299908
5.550000000000001,2.25,1,0.100264
5.950000000000001,2.25,3,0.299952
6.250000000000001,2.25,2,0.200139
6.3500000000000005,2.25,8,0.799945
6.450000000000001,2.25,244,24.399942
5.550000000000001,2.35,3,0.299864
5.65,2.35,4,0.399985
5.950000000000001,2.35,4,0.400038
6.050000000000001,2.35,7,0.7002
6.15,2.35,2,0.199957
6.250000000000001,2.35,5,0.499784
5.750000000000001,2.45,4,0.399879
5.8500000000000005,2.45,2,0.200243
5.950000000000001,2.45,2,0.200076
6.050000000000001,2.45,239,23.899984
5.8500000000000005,2.55,84,8.399813
5.950000000000001,2.55,2,0.200068
