frame,plan_index,point_index,stamp,x,y,yaw
map,0,0,1788733686.9570146,2.0315593832955585,1.5102101255071965,0.0
map,0,1,1788733686.9570146,2.0699657559381706,1.5101948667179066,0.0
map,0,2,1788733686.9570146,2.0949657563106996,1.5101872373232617,0.0
map,0,3,1788733686.9570146,2.1199657566832286,1.5101765561707587,0.0
map,0,4,1788733686.9570146,2.1449657570557576,1.5101643491393268,0.0
map,0,5,1788733686.9570146,2.1699657574282867,1.510147564471108,0.0
map,0,6,1788733686.9570146,2.1949657578008157,1.5101292539239601,0.0
map,0,7,1788733686.9570146,2.2199657581733447,1.5101063657400253,0.0
map,0,8,1788733686.9570146,2.2449657585458738,1.5100788999193036,0.0
map,0,9,1788733686.9570146,2.269965758918403,1.5100468564617948,0.0
map,0,10,1788733686.9570146,2.294965759290932,1.510011761246428,0.0
map,0,11,1788733686.9570146,2.319965759663461,1.5099690366364165,0.0
map,0,12,1788733686.9570146,2.344346253190821,1.5155049253907826,0.0
map,0,13,1788733686.9570146,2.3687191173235362,1.5210682799658706,0.0
map,0,14,1788733686.9570146,2.3931102920033993,1.5265492370787932,0.0
map,0,15,1788733686.9570146,2.4174923114096885,1.5320774964385144,0.0
map,0,16,1788733686.9570146,2.4418819602106225,1.537564557067153,0.0
map,0,17,1788733686.9570146,2.4662594019801247,1.543112652852951,0.0
map,0,18,1788733686.9570146,2.490638369628556,1.5486470157283883,0.0
map,0,19,1788733686.9570146,2.515002078487697,1.5542485172767009,0.0
map,0,20,1788733686.9570146,2.5393657873468385,1.5598545964618005,0.0
map,0,21,1788733686.9570146,2.5636272623177376,1.5658848699891585,0.0
map,0,22,1788733686.9570146,2.5878994184411397,1.571873944785434,0.0
map,0,23,1788733686.9570146,2.612165471048826,1.5778904854024312,0.0
map,0,24,1788733686.9570146,2.636437627172228,1.5838795601987066,0.0
map,0,25,1788733686.9570146,2.660700628022056,1.5899037302103487,0.0
map,0,26,1788733686.9570146,2.684966680629742,1.59591416731163,0.0
map,0,27,1788733686.9570146,2.7092251038427833,1.6019642772650649,0.0
map,0,28,1788733686.9570146,2.7334820011768954,1.6080098095817128,0.0
map,0,29,1788733686.9570146,2.757680915111706,1.6142857496166378,0.0
map,0,30,1788733686.9570146,2.7818874584411617,1.620537275588699,0.0
map,0,31,1788733686.9570146,2.8060894241338303,1.6268071121079082,0.0
map,0,32,1788733686.9570146,2.830285286310783,1.6330906815374782,0.0
map,0,33,1788733686.9570146,2.8544842002455937,1.6393681474513322,0.0
map,0,34,1788733686.9570146,2.8786785365436174,1.645666975670192,0.0
map,0,35,1788733686.9570146,2.902872872841641,1.651962752131194,0.0
map,0,36,1788733686.9570146,2.927061105623949,1.6582844685339886,0.0
map,0,37,1788733686.9570146,2.951217294948748,1.6647221517353863,0.0
map,0,38,1788733686.9570146,2.975371958394618,1.671167464331429,0.0
map,0,39,1788733686.9570146,2.999528147719417,1.6776051475328266,0.0
map,0,40,1788733686.9570146,3.023682811165287,1.6840550377656562,0.0
map,0,41,1788733686.9570146,3.047837474611157,1.6905018762406279,0.0
map,0,42,1788733686.9570146,3.07198756042024,1.6969624476259604,0.0
map,0,43,1788733686.9570146,3.096137646229323,1.7034245448902219,0.0
map,0,44,1788733686.9570146,3.120284680280548,1.7099034268227022,0.0
