detail,kind,stamp
floor2,map_load_start,1788820626.6751132
floor2,map_load_done,1788820769.543255
3.0m/20deg,scan_informative,1788820770.1026094
"floor2 2.7355,1.4000 yaw 41.20 fit 58.6%",localized,1788820784.0558474
f2_lift_door,leg_start,1788820784.0765302
f2_lift_door arrived 14s,leg_end,1788820798.07611
f2_call_button,leg_start,1788820798.0962903
f2_call_button arrived 113s,leg_end,1788820911.7737222
the small round blue button on the metal call plate,press_start,1788820911.794344
the small round blue button on the metal call plate,press_failed,1788820957.6201217
f2_lift_door,leg_start,1788820957.7153902
f2_lift_door arrived 13s,leg_end,1788820970.1750994
open,doors_wait,1788820970.1954343
,doors_open,1788820992.2377727
f2_car_at_panel,leg_start,1788820992.2593508
f2_car_at_panel blocked,leg_retry,1788821019.0961847
f2_car_at_panel none 39s,leg_end,1788821031.270073
f2_car_panel,leg_start,1788821031.2894025
