frame,plan_index,point_index,stamp,x,y,yaw
map,0,0,1788732213.9747992,6.395264821898282,2.160195672293268,0.0
map,0,1,1788732213.9747992,6.44526482264334,2.160195672293268,0.0
map,0,2,1788732213.9747992,6.4994,2.1194,0.8483
map,1,0,1788732215.0055149,6.395264821898282,2.160195672293268,0.0
map,1,1,1788732215.0055149,6.44526482264334,2.160195672293268,0.0
map,1,2,1788732215.0055149,6.4994,2.1194,0.8483
map,2,0,1788732216.0356636,6.395264821898282,2.160195672293268,0.0
map,2,1,1788732216.0356636,6.44526482264334,2.160195672293268,0.0
map,2,2,1788732216.0356636,6.4994,2.1194,0.8483
map,3,0,1788732217.0655222,6.395264821898282,2.160195672293268,0.0
map,3,1,1788732217.0655222,6.44526482264334,2.160195672293268,0.0
map,3,2,1788732217.0655222,6.4994,2.1194,0.8483
map,4,0,1788732218.0856612,6.395264821898282,2.160195672293268,0.0
map,4,1,1788732218.0856612,6.44526482264334,2.160195672293268,0.0
map,4,2,1788732218.0856612,6.4994,2.1194,0.8483
map,5,0,1788732219.1147854,6.395264821898282,2.160195672293268,0.0
map,5,1,1788732219.1147854,6.44526482264334,2.160195672293268,0.0
map,5,2,1788732219.1147854,6.4994,2.1194,0.8483
map,6,0,1788732220.1302092,6.395264821898282,2.160195672293268,0.0
map,6,1,1788732220.1302092,6.44526482264334,2.160195672293268,0.0
map,6,2,1788732220.1302092,6.4994,2.1194,0.8483
map,7,0,1788732221.1604798,6.395264821898282,2.160195672293268,0.0
map,7,1,1788732221.1604798,6.44526482264334,2.160195672293268,0.0
map,7,2,1788732221.1604798,6.4994,2.1194,0.8483
map,8,0,1788732222.1908813,6.395264821898282,2.160195672293268,0.0
map,8,1,1788732222.1908813,6.44526482264334,2.160195672293268,0.0
map,8,2,1788732222.1908813,6.4994,2.1194,0.8483
map,9,0,1788732223.220326,6.395264821898282,2.160195672293268,0.0
map,9,1,1788732223.220326,6.44526482264334,2.160195672293268,0.0
map,9,2,1788732223.220326,6.4994,2.1194,0.8483
map,10,0,1788732224.2412415,6.395264821898282,2.160195672293268,0.0
map,10,1,1788732224.2412415,6.44526482264334,2.160195672293268,0.0
map,10,2,1788732224.2412415,6.4994,2.1194,0.8483
map,11,0,1788732225.2703753,6.44526482264334,2.160195672293268,0.0
map,11,1,1788732225.2703753,6.4994,2.1194,0.8483
map,12,0,1788732226.3003862,6.44526482264334,2.160195672293268,0.0
map,12,1,1788732226.3003862,6.4994,2.1194,0.8483
map,13,0,1788732227.3203654,6.44526482264334,2.160195672293268,0.0
map,13,1,1788732227.3203654,6.4994,2.1194,0.8483
map,14,0,1788732228.340914,6.44526482264334,2.160195672293268,0.0
map,14,1,1788732228.340914,6.4994,2.1194,0.8483
map,15,0,1788732229.3710353,6.44526482264334,2.160195672293268,0.0
map,15,1,1788732229.3710353,6.4994,2.1194,0.8483
map,16,0,1788732230.405174,6.44526482264334,2.160195672293268,0.0
map,16,1,1788732230.405174,6.4994,2.1194,0.8483
map,17,0,1788732231.4311998,6.44526482264334,2.160195672293268,0.0
map,17,1,1788732231.4311998,6.4994,2.1194,0.8483
map,18,0,1788732232.4606113,6.44526482264334,2.160195672293268,0.0
map,18,1,1788732232.4606113,6.4994,2.1194,0.8483
map,19,0,1788732233.4905715,6.44526482264334,2.160195672293268,0.0
map,19,1,1788732233.4905715,6.4994,2.1194,0.8483
map,20,0,1788732234.5208642,6.44526482264334,2.160195672293268,0.0
map,20,1,1788732234.5208642,6.4994,2.1194,0.8483
map,21,0,1788732235.5508668,6.44526482264334,2.160195672293268,0.0
map,21,1,1788732235.5508668,6.4994,2.1194,0.8483
map,22,0,1788732236.5750716,6.44526482264334,2.160195672293268,0.0
map,22,1,1788732236.5750716,6.4994,2.1194,0.8483
map,23,0,1788732237.601348,6.44526482264334,2.160195672293268,0.0
map,23,1,1788732237.601348,6.4994,2.1194,0.8483
map,24,0,1788732238.6206589,6.44526482264334,2.160195672293268,0.0
map,24,1,1788732238.6206589,6.4994,2.1194,0.8483
map,25,0,1788732239.6506896,6.44526482264334,2.160195672293268,0.0
map,25,1,1788732239.6506896,6.4994,2.1194,0.8483
map,26,0,1788732240.680371,6.44526482264334,2.160195672293268,0.0
map,26,1,1788732240.680371,6.4994,2.1194,0.8483
map,27,0,1788732241.7107618,6.44526482264334,2.160195672293268,0.0
map,27,1,1788732241.7107618,6.4994,2.1194,0.8483
map,28,0,1788732242.7305849,6.44526482264334,2.160195672293268,0.0
map,28,1,1788732242.7305849,6.4994,2.1194,0.8483
map,29,0,1788732243.760421,6.44526482264334,2.160195672293268,0.0
map,29,1,1788732243.760421,6.4994,2.1194,0.8483
map,30,0,1788732244.7910988,6.44526482264334,2.160195672293268,0.0
map,30,1,1788732244.7910988,6.4994,2.1194,0.8483
map,31,0,1788732245.820756,6.44526482264334,2.160195672293268,0.0
map,31,1,1788732245.820756,6.4994,2.1194,0.8483
map,32,0,1788732250.9533398,6.495264823388398,2.310195674528442,0.0
map,32,1,1788732250.9533398,6.495264823388398,2.260195673783384,0.0
map,32,2,1788732250.9533398,6.495264823388398,2.235195673410855,0.0
map,32,3,1788732250.9533398,6.495264823388398,2.210195673038326,0.0
map,32,4,1788732250.9533398,6.495264823388398,2.160195672293268,0.0
map,32,5,1788732250.9533398,6.4994,2.1194,0.8483
map,33,0,1788732251.9827209,6.495264823388398,2.310195674528442,0.0
map,33,1,1788732251.9827209,6.495264823388398,2.260195673783384,0.0
map,33,2,1788732251.9827209,6.495264823388398,2.235195673410855,0.0
map,33,3,1788732251.9827209,6.495264823388398,2.210195673038326,0.0
map,33,4,1788732251.9827209,6.495264823388398,2.160195672293268,0.0
map,33,5,1788732251.9827209,6.4994,2.1194,0.8483
map,34,0,1788732253.0122185,6.44526482264334,2.210195673038326,0.0
map,34,1,1788732253.0122185,6.44526482264334,2.160195672293268,0.0
map,34,2,1788732253.0122185,6.4994,2.1194,0.8483
map,35,0,1788732254.0426414,6.395264821898282,2.210195673038326,0.0
map,35,1,1788732254.0426414,6.427587515251021,2.1778729796855867,0.0
map,35,2,1788732254.0426414,6.44526482264334,2.160195672293268,0.0
map,35,3,1788732254.0426414,6.4994,2.1194,0.8483
map,36,0,1788732255.0620372,6.395264821898282,2.210195673038326,0.0
map,36,1,1788732255.0620372,6.427587515251021,2.1778729796855867,0.0
map,36,2,1788732255.0620372,6.44526482264334,2.160195672293268,0.0
map,36,3,1788732255.0620372,6.4994,2.1194,0.8483
map,37,0,1788732256.0926166,6.395264821898282,2.160195672293268,0.0
map,37,1,1788732256.0926166,6.44526482264334,2.160195672293268,0.0
map,37,2,1788732256.0926166,6.4994,2.1194,0.8483
map,38,0,1788732257.1272476,6.395264821898282,2.160195672293268,0.0
map,38,1,1788732257.1272476,6.44526482264334,2.160195672293268,0.0
map,38,2,1788732257.1272476,6.4994,2.1194,0.8483
map,39,0,1788732258.1521304,6.395264821898282,2.160195672293268,0.0
map,39,1,1788732258.1521304,6.44526482264334,2.160195672293268,0.0
map,39,2,1788732258.1521304,6.4994,2.1194,0.8483
map,40,0,1788732259.1824007,6.395264821898282,2.160195672293268,0.0
map,40,1,1788732259.1824007,6.44526482264334,2.160195672293268,0.0
map,40,2,1788732259.1824007,6.4994,2.1194,0.8483
map,41,0,1788732260.2129762,6.395264821898282,2.160195672293268,0.0
map,41,1,1788732260.2129762,6.44526482264334,2.160195672293268,0.0
map,41,2,1788732260.2129762,6.4994,2.1194,0.8483
map,42,0,1788732261.2316778,6.395264821898282,2.160195672293268,0.0
map,42,1,1788732261.2316778,6.44526482264334,2.160195672293268,0.0
map,42,2,1788732261.2316778,6.4994,2.1194,0.8483
map,43,0,1788732262.2515662,6.395264821898282,2.160195672293268,0.0
map,43,1,1788732262.2515662,6.44526482264334,2.160195672293268,0.0
map,43,2,1788732262.2515662,6.4994,2.1194,0.8483
map,44,0,1788732263.2825553,6.395264821898282,2.160195672293268,0.0
map,44,1,1788732263.2825553,6.44526482264334,2.160195672293268,0.0
map,44,2,1788732263.2825553,6.4994,2.1194,0.8483
map,45,0,1788732264.6231856,6.395264821898282,2.160195672293268,0.0
map,45,1,1788732264.6231856,6.44526482264334,2.160195672293268,0.0
map,45,2,1788732264.6231856,6.4994,2.1194,0.8483
map,46,0,1788732265.6528492,6.395264821898282,2.160195672293268,0.0
map,46,1,1788732265.6528492,6.44526482264334,2.160195672293268,0.0
map,46,2,1788732265.6528492,6.4994,2.1194,0.8483
map,47,0,1788732266.6833627,6.395264821898282,2.160195672293268,0.0
map,47,1,1788732266.6833627,6.44526482264334,2.160195672293268,0.0
map,47,2,1788732266.6833627,6.4994,2.1194,0.8483
map,48,0,1788732267.712953,6.395264821898282,2.160195672293268,0.0
map,48,1,1788732267.712953,6.44526482264334,2.160195672293268,0.0
map,48,2,1788732267.712953,6.4994,2.1194,0.8483
map,49,0,1788732268.7329872,6.395264821898282,2.210195673038326,0.0
map,49,1,1788732268.7329872,6.427587515251021,2.1778729796855867,0.0
map,49,2,1788732268.7329872,6.44526482264334,2.160195672293268,0.0
map,49,3,1788732268.7329872,6.4994,2.1194,0.8483
map,50,0,1788732269.7638705,6.395264821898282,2.210195673038326,0.0
map,50,1,1788732269.7638705,6.427587515251021,2.1778729796855867,0.0
map,50,2,1788732269.7638705,6.44526482264334,2.160195672293268,0.0
map,50,3,1788732269.7638705,6.4994,2.1194,0.8483
map,51,0,1788732270.7836561,6.395264821898282,2.210195673038326,0.0
map,51,1,1788732270.7836561,6.427587515251021,2.1778729796855867,0.0
map,51,2,1788732270.7836561,6.44526482264334,2.160195672293268,0.0
map,51,3,1788732270.7836561,6.4994,2.1194,0.8483
map,52,0,1788732271.8746805,6.395264821898282,2.210195673038326,0.0
map,52,1,1788732271.8746805,6.367940907916905,2.1989240053898964,0.0
map,52,2,1788732271.8746805,6.348803334389546,2.2150082951803522,0.0
map,52,3,1788732271.8746805,6.328666310163699,2.2298245795808196,0.0
map,52,4,1788732271.8746805,6.3082256360309845,2.2442166696390284,0.0
map,52,5,1788732271.8746805,6.287611011700365,2.2583615673107413,0.0
map,52,6,1788732271.8746805,6.2675212897213175,2.273240412747297,0.0
map,52,7,1788732271.8746805,6.2472301517236435,2.2878445999766353,0.0
map,52,8,1788732271.8746805,6.226922229057751,2.3024258990220385,0.0
map,52,9,1788732271.8746805,6.206834032957632,2.3173062703375233,0.0
map,52,10,1788732271.8746805,6.186657335879632,2.332069148975476,0.0
map,52,11,1788732271.8746805,6.166465380012342,2.346809139429494,0.0
map,52,12,1788732271.8746805,6.146361925122934,2.361671200197831,0.0
map,52,13,1788732271.8746805,6.126247789081022,2.376516476297949,0.0
map,52,14,1788732271.8746805,6.106107713097318,2.3913297089405585,0.0
map,52,15,1788732271.8746805,6.085952378324324,2.406118527520304,0.0
map,52,16,1788732271.8746805,6.065864182224205,2.421000424714718,0.0
map,52,17,1788732271.8746805,6.0457469944244355,2.435844174935907,0.0
map,52,18,1788732271.8746805,6.025631332503595,2.450687925157096,0.0
map,52,19,1788732271.8746805,6.005556869313837,2.4655881328986577,0.0
map,52,20,1788732271.8746805,5.985468673213719,2.4804700300930715,0.0
map,52,21,1788732271.8746805,5.965374373597884,2.4953442978928404,0.0
map,52,22,1788732271.8746805,5.945264815192759,2.5101956775086744,0.0
map,52,23,1788732271.8746805,5.9075,2.537,0.9668000000000001
map,53,0,1788732272.9047909,6.395264821898282,2.160195672293268,0.0
map,53,1,1788732272.9047909,6.368767934296416,2.1594022152501946,0.0
map,53,2,1788732272.9047909,6.3507518817818625,2.176736199883491,0.0
map,53,3,1788732272.9047909,6.331367115868007,2.1925214174038654,0.0
map,53,4,1788732272.9047909,6.311764149267306,2.208036554353809,0.0
map,53,5,1788732272.9047909,6.292594532282438,2.224084223049969,0.0
map,53,6,1788732272.9047909,6.273292163830748,2.2399716744585856,0.0
map,53,7,1788732272.9047909,6.253849414517591,2.2556882274271555,0.0
map,53,8,1788732272.9047909,6.2346691163802195,2.2717221632129547,0.0
map,53,9,1788732272.9047909,6.215385058475677,2.287632502805506,0.0
map,53,10,1788732272.9047909,6.195994189046106,2.3034131426890934,0.0
map,53,11,1788732272.9047909,6.176786425088013,2.319413509138455,0.0
map,53,12,1788732272.9047909,6.157494737788825,2.3353146934574323,0.0
map,53,13,1788732272.9047909,6.1381572741217685,2.351159420256037,0.0
map,53,14,1788732272.9047909,6.118920518464025,2.36712774324789,0.0
map,53,15,1788732272.9047909,6.099615098254477,2.3830106170197194,0.0
map,53,16,1788732272.9047909,6.080305100408141,2.398888913154762,0.0
map,53,17,1788732272.9047909,6.061046982445392,2.414831296204822,0.0
map,53,18,1788732272.9047909,6.041743088114773,2.4307156958555804,0.0
map,53,19,1788732272.9047909,6.022445297299869,2.446609250779913,0.0
map,53,20,1788732272.9047909,6.003165817032114,2.46252569388818,0.0
map,53,21,1788732272.9047909,5.983871077975069,2.4784223005703705,0.0
map,53,22,1788732272.9047909,5.9645763389180235,2.494318907252561,0.0
map,53,23,1788732272.9047909,5.945264815192759,2.5101956775086744,0.0
map,53,24,1788732272.9047909,5.9075,2.537,0.9668000000000001
map,54,0,1788732273.9338121,6.395264821898282,2.160195672293268,0.0
map,54,1,1788732273.9338121,6.368766408417487,2.1594006893712656,0.0
map,54,2,1788732273.9338121,6.3507503559029335,2.176733148125633,0.0
map,54,3,1788732273.9338121,6.331365589989078,2.1925198915249364,0.0
map,54,4,1788732273.9338121,6.311761097509448,2.208033502595951,0.0
map,54,5,1788732273.9338121,6.29259148052458,2.224081171292111,0.0
map,54,6,1788732273.9338121,6.27328911207289,2.2399686227007276,0.0
map,54,7,1788732273.9338121,6.253846362759733,2.2556851756692975,0.0
map,54,8,1788732273.9338121,6.2346660646223615,2.2717191114550968,0.0
map,54,9,1788732273.9338121,6.215382006717819,2.287629451047648,0.0
map,54,10,1788732273.9338121,6.195991137288248,2.3034085650523064,0.0
map,54,11,1788732273.9338121,6.176789476845871,2.319418086775242,0.0
map,54,12,1788732273.9338121,6.157500841304541,2.335322322852077,0.0
map,54,13,1788732273.9338121,6.138164903516413,2.351168575529611,0.0
map,54,14,1788732273.9338121,6.118937303132244,2.3671475796739667,0.0
map,54,15,1788732273.9338121,6.099636460559482,2.383036556961512,0.0
map,54,16,1788732273.9338121,6.080326462713147,2.3989148530965547,0.0
map,54,17,1788732273.9338121,6.061072922387185,2.4148618137834017,0.0
map,54,18,1788732273.9338121,6.0417675021776365,2.43074621343416,0.0
map,54,19,1788732273.9338121,6.022466659604875,2.4466367166006346,0.0
map,54,20,1788732273.9338121,6.003185653458191,2.462548582072115,0.0
map,54,21,1788732273.9338121,5.98388481088543,2.4784390852385894,0.0
map,54,22,1788732273.9338121,5.9645839683126685,2.494328062526135,0.0
map,54,23,1788732273.9338121,5.945264815192759,2.5101956775086744,0.0
map,54,24,1788732273.9338121,5.9075,2.537,0.9668000000000001
map,55,0,1788732274.943992,6.395264821898282,2.160195672293268,0.0
map,55,1,1788732274.943992,6.368766408417487,2.1594006893712656,0.0
map,55,2,1788732274.943992,6.3507503559029335,2.176733148125633,0.0
map,55,3,1788732274.943992,6.331365589989078,2.1925198915249364,0.0
map,55,4,1788732274.943992,6.311761097509448,2.208033502595951,0.0
map,55,5,1788732274.943992,6.29259148052458,2.224081171292111,0.0
map,55,6,1788732274.943992,6.27328911207289,2.2399686227007276,0.0
map,55,7,1788732274.943992,6.253846362759733,2.2556851756692975,0.0
map,55,8,1788732274.943992,6.2346660646223615,2.2717191114550968,0.0
map,55,9,1788732274.943992,6.215382006717819,2.287629451047648,0.0
map,55,10,1788732274.943992,6.195991137288248,2.3034085650523064,0.0
map,55,11,1788732274.943992,6.176789476845871,2.319418086775242,0.0
map,55,12,1788732274.943992,6.157500841304541,2.335322322852077,0.0
map,55,13,1788732274.943992,6.138164903516413,2.351168575529611,0.0
map,55,14,1788732274.943992,6.118937303132244,2.3671475796739667,0.0
map,55,15,1788732274.943992,6.099636460559482,2.383036556961512,0.0
map,55,16,1788732274.943992,6.080326462713147,2.3989148530965547,0.0
map,55,17,1788732274.943992,6.061072922387185,2.4148618137834017,0.0
map,55,18,1788732274.943992,6.0417675021776365,2.43074621343416,0.0
map,55,19,1788732274.943992,6.022466659604875,2.4466367166006346,0.0
map,55,20,1788732274.943992,6.003185653458191,2.462548582072115,0.0
map,55,21,1788732274.943992,5.98388481088543,2.4784390852385894,0.0
map,55,22,1788732274.943992,5.9645839683126685,2.494328062526135,0.0
map,55,23,1788732274.943992,5.945264815192759,2.5101956775086744,0.0
map,55,24,1788732274.943992,5.9075,2.537,0.9668000000000001
map,56,0,1788732275.9741602,6.395264821898282,2.160195672293268,0.0
map,56,1,1788732275.9741602,6.368766408417487,2.1594006893712656,0.0
map,56,2,1788732275.9741602,6.3507503559029335,2.176733148125633,0.0
map,56,3,1788732275.9741602,6.331365589989078,2.1925198915249364,0.0
map,56,4,1788732275.9741602,6.311761097509448,2.208033502595951,0.0
map,56,5,1788732275.9741602,6.29259148052458,2.224081171292111,0.0
map,56,6,1788732275.9741602,6.27328911207289,2.2399686227007276,0.0
map,56,7,1788732275.9741602,6.253846362759733,2.2556851756692975,0.0
map,56,8,1788732275.9741602,6.2346660646223615,2.2717191114550968,0.0
map,56,9,1788732275.9741602,6.215382006717819,2.287629451047648,0.0
map,56,10,1788732275.9741602,6.195991137288248,2.3034085650523064,0.0
map,56,11,1788732275.9741602,6.176789476845871,2.319418086775242,0.0
map,56,12,1788732275.9741602,6.157500841304541,2.335322322852077,0.0
map,56,13,1788732275.9741602,6.138164903516413,2.351168575529611,0.0
map,56,14,1788732275.9741602,6.118937303132244,2.3671475796739667,0.0
map,56,15,1788732275.9741602,6.099636460559482,2.383036556961512,0.0
map,56,16,1788732275.9741602,6.080326462713147,2.3989148530965547,0.0
map,56,17,1788732275.9741602,6.061072922387185,2.4148618137834017,0.0
map,56,18,1788732275.9741602,6.0417675021776365,2.43074621343416,0.0
map,56,19,1788732275.9741602,6.022466659604875,2.4466367166006346,0.0
map,56,20,1788732275.9741602,6.003185653458191,2.462548582072115,0.0
map,56,21,1788732275.9741602,5.98388481088543,2.4784390852385894,0.0
map,56,22,1788732275.9741602,5.9645839683126685,2.494328062526135,0.0
map,56,23,1788732275.9741602,5.945264815192759,2.5101956775086744,0.0
map,56,24,1788732275.9741602,5.9075,2.537,0.9668000000000001
map,57,0,1788732277.0038188,6.19526481891805,2.310195674528442,0.0
map,57,1,1788732277.0038188,6.169823839535043,2.311416377671632,0.0
map,57,2,1788732277.0038188,6.152444078533877,2.3293881796972453,0.0
map,57,3,1788732277.0038188,6.133309556764376,2.345478573003417,0.0
map,57,4,1788732277.0038188,6.114939500338297,2.3624341396623247,0.0
map,57,5,1788732277.0038188,6.096090317928516,2.3788571745750158,0.0
map,57,6,1788732277.0038188,6.077117539325487,2.395138302747311,0.0
map,57,7,1788732277.0038188,6.058492661118267,2.411814633562214,0.0
map,57,8,1788732277.0038188,6.039651108103131,2.42824529786955,0.0
map,57,9,1788732277.0038188,6.020728683504759,2.4445828835622176,0.0
map,57,10,1788732277.0038188,6.00199699377251,2.4611401958206596,0.0
map,57,11,1788732277.0038188,5.983152388999516,2.4775693342490666,0.0
map,57,12,1788732277.0038188,5.964243697311504,2.493922178731024,0.0
map,57,13,1788732277.0038188,5.945264815192759,2.5101956775086744,0.0
map,57,14,1788732277.0038188,5.9075,2.537,0.9668000000000001
map,58,0,1788732278.032908,6.0452648166828755,2.3601956752735003,0.0
map,58,1,1788732278.032908,6.029095077672396,2.386572018439976,0.0
map,58,2,1788732278.032908,6.019027328498938,2.4094540988590705,0.0
map,58,3,1788732278.032908,6.006194686706154,2.430909482479562,0.0
map,58,4,1788732278.032908,5.990937423295209,2.450713865098889,0.0
map,58,5,1788732278.032908,5.976031112037932,2.4707837506518597,0.0
map,58,6,1788732278.032908,5.960798262689851,2.4906064438183346,0.0
map,58,7,1788732278.032908,5.945264815192759,2.5101956775086744,0.0
map,58,8,1788732278.032908,5.9075,2.537,0.9668000000000001
map,59,0,1788732279.0535047,5.9952648159378175,2.4601956767636164,0.0
map,59,1,1788732279.0535047,5.962942122585078,2.492518370116356,0.0
map,59,2,1788732279.0535047,5.945264815192759,2.5101956775086744,0.0
map,59,3,1788732279.0535047,5.9075,2.537,0.9668000000000001
map,60,0,1788732280.0834546,5.9952648159378175,2.4601956767636164,0.0
map,60,1,1788732280.0834546,5.962942122585078,2.492518370116356,0.0
map,60,2,1788732280.0834546,5.945264815192759,2.5101956775086744,0.0
map,60,3,1788732280.0834546,5.9075,2.537,0.9668000000000001
map,61,0,1788732281.1136467,5.9952648159378175,2.4601956767636164,0.0
map,61,1,1788732281.1136467,5.962942122585078,2.492518370116356,0.0
map,61,2,1788732281.1136467,5.945264815192759,2.5101956775086744,0.0
map,61,3,1788732281.1136467,5.9075,2.537,0.9668000000000001
map,62,0,1788732282.1438851,5.9952648159378175,2.4601956767636164,0.0
map,62,1,1788732282.1438851,5.962942122585078,2.492518370116356,0.0
map,62,2,1788732282.1438851,5.945264815192759,2.5101956775086744,0.0
map,62,3,1788732282.1438851,5.9075,2.537,0.9668000000000001
map,63,0,1788732283.163012,5.9952648159378175,2.4601956767636164,0.0
map,63,1,1788732283.163012,5.962942122585078,2.492518370116356,0.0
map,63,2,1788732283.163012,5.945264815192759,2.5101956775086744,0.0
map,63,3,1788732283.163012,5.9075,2.537,0.9668000000000001
map,64,0,1788732284.1839128,5.9952648159378175,2.4601956767636164,0.0
map,64,1,1788732284.1839128,5.962942122585078,2.492518370116356,0.0
map,64,2,1788732284.1839128,5.945264815192759,2.5101956775086744,0.0
map,64,3,1788732284.1839128,5.9075,2.537,0.9668000000000001
map,65,0,1788732285.2136636,5.9952648159378175,2.4601956767636164,0.0
map,65,1,1788732285.2136636,5.962942122585078,2.492518370116356,0.0
map,65,2,1788732285.2136636,5.945264815192759,2.5101956775086744,0.0
map,65,3,1788732285.2136636,5.9075,2.537,0.9668000000000001
map,66,0,1788732286.2330801,5.9952648159378175,2.4601956767636164,0.0
