stamp,vx,vy,vz,wx,wy,wz
1788732426.018764,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.0689943,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.1188583,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.168945,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.2192788,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.269172,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.319049,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.369036,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.4193203,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.4686542,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.5187407,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.5689242,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.619134,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.668864,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.7189944,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.7691061,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.8190324,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.8689926,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.9187884,0.0,0.0,0.0,0.0,0.0,0.0
1788732426.9689698,0.0,0.0,0.0,0.0,0.0,0.0
1788732427.0190628,0.0,0.0,0.0,0.0,0.0,0.0
1788732427.069178,0.0,0.0,0.0,0.0,0.0,0.0
1788732427.119024,0.0,0.0,0.0,0.0,0.0,0.0
1788732427.169042,0.0,0.0,0.0,0.0,0.0,0.0
1788732427.2188113,0.0,0.0,0.0,0.0,0.0,0.0
1788732427.2687595,0.0,0.0,0.0,0.0,0.0,0.0
1788732427.3188436,0.0,0.0,0.0,0.0,0.0,0.0
1788732427.3688128,0.0,0.0,0.0,0.0,0.0,0.0
1788732427.41897,0.0,0.0,0.0,0.0,0.0,0.0
1788732427.4692838,0.0,0.0,0.0,0.0,0.0,0.0
1788732427.5191722,0.0,0.0,0.0,0.0,0.0,0.0
1788732427.5690453,0.0,0.0,0.0,0.0,0.0,0.0
