map.x,map.y,map.yaw,stamp
-4.449685946493048,1.7840766929009284,-1.5749180797536504,1789095064.215178
-4.449685946493046,1.7840766929009286,-1.5749180797536504,1789095064.3151681
-4.449685946493046,1.7840766929009286,-1.5749180797536504,1789095064.4152207
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095064.515219
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095064.6151154
-4.449685946493046,1.784076692900928,-1.5749180797536504,1789095064.7151263
-4.449685946493048,1.7840766929009284,-1.5749180797536504,1789095064.8152707
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095064.9150574
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095065.0149517
-4.449685946493048,1.7840766929009289,-1.5749180797536504,1789095065.1155064
-4.449685946493048,1.7840766929009284,-1.5749180797536504,1789095065.2151194
-4.449685946493048,1.7840766929009284,-1.5749180797536504,1789095065.315292
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095065.4150898
-4.449685946493048,1.7840766929009289,-1.5749180797536504,1789095065.514993
-4.449685946493046,1.7840766929009286,-1.5749180797536504,1789095065.615
-4.449685946493048,1.7840766929009289,-1.5749180797536504,1789095065.7151701
-4.449685946493048,1.7840766929009289,-1.5749180797536504,1789095065.8152428
-4.449685946493046,1.7840766929009286,-1.5749180797536504,1789095065.9152672
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095066.0150762
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095066.115073
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095066.2149966
-4.449685946493046,1.7840766929009282,-1.5749180797536504,1789095066.315161
-4.449685946493048,1.7840766929009289,-1.5749180797536504,1789095066.4150445
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095066.5152793
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095066.6151001
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095066.7150626
-4.449685946493048,1.7840766929009284,-1.5749180797536504,1789095066.8150299
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095066.9150589
-4.449685946493048,1.7840766929009284,-1.5749180797536504,1789095067.016908
-4.449685946493046,1.784076692900928,-1.5749180797536504,1789095067.1150908
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095067.214946
-4.449685946493048,1.7840766929009284,-1.5749180797536504,1789095067.3152926
-4.449685946493048,1.7840766929009284,-1.5749180797536504,1789095067.415006
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095067.5151098
-4.449685946493046,1.784076692900928,-1.5749180797536504,1789095067.6150668
-4.449685946493048,1.7840766929009284,-1.5749180797536504,1789095067.7151222
-4.449685946493046,1.7840766929009286,-1.5749180797536504,1789095067.8149378
-4.449685946493048,1.7840766929009284,-1.5749180797536504,1789095067.9151492
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095068.0149636
-4.449685946493048,1.7840766929009289,-1.5749180797536504,1789095068.1151187
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095068.2150624
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095068.3151731
-4.449685946493046,1.7840766929009286,-1.5749180797536504,1789095068.415107
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095068.515069
-4.449685946493046,1.7840766929009284,-1.5749180797536504,1789095068.6150975
-4.449685946493048,1.7840766929009289,-1.5749180797536504,1789095068.715421
-4.449685946493048,1.7840766929009284,-1.5749180797536504,1789095068.8149793
