map.x,map.y,map.yaw,stamp
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742596.8924654
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742596.9925053
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742597.0926876
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742597.192602
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742597.2925203
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742597.392499
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742597.4925494
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742597.5925362
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742597.6927702
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742597.7924836
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742597.892487
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742597.9925525
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742598.092711
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742598.1925464
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742598.2924516
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742598.3924885
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742598.4925225
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742598.5924447
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742598.692426
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742598.7925937
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742598.8925464
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742598.992542
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742599.092424
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742599.192457
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742599.2924898
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742599.3924932
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742599.492497
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742599.5925367
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742599.6924605
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742599.7925384
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742599.8924856
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742599.992513
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742600.0924747
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742600.1924803
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742600.2925282
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742600.3927512
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742600.4926128
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742600.5925612
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742600.6925404
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742600.7924995
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742600.8925629
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742600.9925697
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742601.0924628
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742601.1924362
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742601.292538
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742601.3924441
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742601.4926686
4.3839644501959345,-1.647256579457622,-1.1404535439776482,1788742601.592532
