frame,plan_index,point_index,stamp,x,y,yaw
map,0,0,1788808772.6503732,2.7452564563256363,1.4102100711398293,0.0
map,0,1,1788808772.6503732,2.7739872306795395,1.409172473468118,0.0
map,0,2,1788808772.6503732,2.7989811275363525,1.4086643557847651,0.0
map,0,3,1788808772.6503732,2.8239719726353076,1.4079807620245788,0.0
map,0,4,1788808772.6503732,2.848958240097476,1.4071308474611328,0.0
map,0,5,1788808772.6503732,2.87393535228607,1.4060535769372677,0.0
map,0,6,1788808772.6503732,2.8989017833221613,1.4047642092422734,0.0
map,0,7,1788808772.6503732,2.9238529555689627,1.4031986574611324,0.0
map,0,8,1788808772.6503732,2.947758900749408,1.4105121951677688,0.0
map,0,9,1788808772.6503732,2.971655690656279,1.417857776331914,0.0
map,0,10,1788808772.6503732,2.9956104639624517,1.4250095708720778,0.0
map,0,11,1788808772.6503732,3.0195438749636185,1.432236133479762,0.0
map,0,12,1788808772.6503732,3.0434589754176375,1.4395191536078187,0.0
map,0,13,1788808772.6503732,3.0673878087820174,1.4467563973680058,0.0
map,0,14,1788808772.6503732,3.0912922280835335,1.4540790903482161,0.0
map,0,15,1788808772.6503732,3.1150043866399972,1.4619999278685896,0.0
map,0,16,1788808772.6503732,3.138711967559674,1.469932972420395,0.0
map,0,17,1788808772.6503732,3.1624409107843565,1.4778019300571827,0.0
map,0,18,1788808772.6503732,3.186159172856536,1.4857059829093373,0.0
map,0,19,1788808772.6503732,3.2098865902022897,1.4935764664250542,0.0
map,0,20,1788808772.6503732,3.2335987487587534,1.5014988298243566,0.0
map,0,21,1788808772.6503732,3.257313959073075,1.509412037950085,0.0
map,0,22,1788808772.6503732,3.2809208319834386,1.517638051256256,0.0
map,0,23,1788808772.6503732,3.304542963683092,1.5258243917102732,0.0
map,0,24,1788808772.6503732,3.3281559401091716,1.5340381979850122,0.0
map,0,25,1788808772.6503732,3.351775020050967,1.5422291160758164,0.0
map,0,26,1788808772.6503732,3.3753834188402596,1.5504566552609162,0.0
map,0,27,1788808772.6503732,3.398993343508481,1.5586750391724422,0.0
map,0,28,1788808772.6503732,3.4225330777459693,1.5670948391025945,0.0
map,0,29,1788808772.6503732,3.4460819672570313,1.575487173212025,0.0
map,0,30,1788808772.6503732,3.4696232273734484,1.5839023955053904,0.0
map,0,31,1788808772.6503732,3.4931568580952206,1.5923374542248325,0.0
