detail,kind,stamp
floor2,map_load_start,1788811243.3319364
floor2,map_load_done,1788811316.290435
3.0m/20deg,scan_informative,1788811318.3891423
"floor2 2.6055,1.4800 yaw 53.80 fit 57.6%",localized,1788811336.2416365
f2_lift_door,leg_start,1788811336.265406
f2_lift_door arrived 12s,leg_end,1788811348.373242
f2_call_button,leg_start,1788811348.398282
f2_call_button arrived 11s,leg_end,1788811359.4438174
the small round blue button on the metal call plate,press_start,1788811359.4672346
the small round blue button on the metal call plate,press_contact,1788811376.957085
f2_lift_door,leg_start,1788811377.6694229
f2_lift_door blocked 179s,leg_end,1788811556.5724597
