detail,kind,stamp
floor1,map_load_start,1788743130.7021217
floor1,map_load_done,1788743154.430231
open,doors_wait,1788743154.4479551
open,doors_timeout,1788743219.496819
"floor1 5.8877,-5.9608 yaw -72.80 fit 54.3%",localized,1788743256.5284576
f1_ada_button,leg_start,1788743262.999065
