frame,plan_index,point_index,stamp,x,y,yaw
map,0,0,1788733332.4033105,6.045256472221736,2.510210148758981,0.0
map,0,1,1788733332.4033105,5.995256471476678,2.510210148758981,0.0
map,0,2,1788733332.4033105,5.970256471104149,2.510210148758981,0.0
map,0,3,1788733332.4033105,5.94525647073162,2.510210148758981,0.0
map,0,4,1788733332.4033105,5.9075,2.537,0.9668000000000001
map,1,0,1788733335.4164412,6.045256472221736,2.510210148758981,0.0
map,1,1,1788733335.4164412,6.089506961162369,2.474930302041864,0.0
map,1,2,1788733335.4164412,6.108592654806143,2.4587819253363907,0.0
map,1,3,1788733335.4164412,6.127405216121629,2.442317691692617,0.0
map,1,4,1788733335.4164412,6.146526004980769,2.4262120395971554,0.0
map,1,5,1788733335.4164412,6.165303471080888,2.409708133101228,0.0
map,1,6,1788733335.4164412,6.1839466598352555,2.393050112833473,0.0
map,1,7,1788733335.4164412,6.2027943163661075,2.376627077920782,0.0
map,1,8,1788733335.4164412,6.221461919183339,2.3599980493526775,0.0
map,1,9,1788733335.4164412,6.240048650417334,2.343278993927763,0.0
map,1,10,1788733335.4164412,6.258775762512796,2.326717104032534,0.0
map,1,11,1788733335.4164412,6.277393011325371,2.310031617944057,0.0
map,1,12,1788733335.4164412,6.296150640999413,2.293503297385266,0.0
map,1,13,1788733335.4164412,6.314822821453431,2.2768803723328777,0.0
map,1,14,1788733335.4164412,6.333424811476716,2.260176575697253,0.0
map,1,15,1788733335.4164412,6.352127509509314,2.2435887458602313,0.0
map,1,16,1788733335.4164412,6.370770698263682,2.226932251471405,0.0
map,1,17,1788733335.4164412,6.389365058892322,2.2102223513200645,0.0
map,1,18,1788733335.4164412,6.408035713467411,2.193596374509818,0.0
map,1,19,1788733335.4164412,6.42666211755356,2.176921569573844,0.0
map,1,20,1788733335.4164412,6.4452564781822,2.1602101435435745,0.0
map,1,21,1788733335.4164412,6.4994,2.1194,0.8483
map,2,0,1788733336.447296,5.995256471476678,2.510210148758981,0.0
map,2,1,1788733336.447296,6.034383058973772,2.4864506879557187,0.0
map,2,2,1788733336.447296,6.056177187716498,2.474202457792737,0.0
map,2,3,1788733336.447296,6.075812197774708,2.458728519573876,0.0
map,2,4,1788733336.447296,6.095781375318365,2.4436879309708477,0.0
map,2,5,1788733336.447296,6.115477420533734,2.428290286698436,0.0
map,2,6,1788733336.447296,6.1349094886943885,2.4125630525773634,0.0
