x_m,y_m,samples,dwell_s
2.668570733206673,1.3432146187950578,714,71.400272
2.7685707332066736,1.3432146187950578,3,0.299886
2.9685707332066738,1.3432146187950578,80,7.999959
2.868570733206673,1.4432146187950579,3,0.300172
2.9685707332066738,1.4432146187950579,7,0.699881
3.0685707332066734,1.4432146187950579,7,0.699961
3.168570733206674,1.4432146187950579,3,0.300154
2.868570733206673,1.543214618795058,1,0.100006
2.9685707332066738,1.543214618795058,7,0.700004
3.0685707332066734,1.543214618795058,1,0.099929
3.168570733206674,1.543214618795058,3,0.299675
3.2685707332066736,1.543214618795058,6,0.600274
3.368570733206674,1.543214618795058,5,0.499852
3.4685707332066738,1.543214618795058,2,0.200041
5.168570733206676,1.543214618795058,2,0.199952
5.268570733206675,1.543214618795058,1,0.099995
5.368570733206676,1.543214618795058,1,0.099898
5.4685707332066755,1.543214618795058,2,0.199947
5.568570733206676,1.543214618795058,1,0.100162
2.7685707332066736,1.643214618795058,501,50.100217
2.868570733206673,1.643214618795058,96,9.600155
3.368570733206674,1.643214618795058,1,0.100114
3.4685707332066738,1.643214618795058,5,0.500009
3.5685707332066743,1.643214618795058,5,0.499877
3.668570733206674,1.643214618795058,4,0.399908
3.7685707332066745,1.643214618795058,3,0.300212
4.868570733206675,1.643214618795058,1,0.100042
4.9685707332066755,1.643214618795058,1,0.099932
5.068570733206675,1.643214618795058,1,0.100151
5.568570733206676,1.643214618795058,2,0.200023
5.668570733206676,1.643214618795058,4,0.399914
5.768570733206676,1.643214618795058,2,0.199936
2.868570733206673,1.7432146187950581,9,0.899787
3.668570733206674,1.7432146187950581,1,0.099888
3.7685707332066745,1.7432146187950581,4,0.399888
3.868570733206674,1.7432146187950581,5,0.500165
3.9685707332066746,1.7432146187950581,2,0.200035
4.068570733206674,1.7432146187950581,3,0.299824
4.168570733206675,1.7432146187950581,3,0.300292
4.668570733206675,1.7432146187950581,2,0.200129
4.768570733206675,1.7432146187950581,1,0.099944
4.868570733206675,1.7432146187950581,1,0.100062
5.768570733206676,1.7432146187950581,2,0.200013
5.868570733206676,1.7432146187950581,4,0.400108
3.868570733206674,1.8432146187950582,1,0.099954
3.9685707332066746,1.8432146187950582,4,0.400004
4.068570733206674,1.8432146187950582,3,0.299967
4.168570733206675,1.8432146187950582,4,0.400053
4.2685707332066745,1.8432146187950582,7,0.700122
4.368570733206675,1.8432146187950582,6,0.599705
4.468570733206675,1.8432146187950582,4,0.399769
4.568570733206675,1.8432146187950582,2,0.200086
4.668570733206675,1.8432146187950582,3,0.299977
5.968570733206676,1.8432146187950582,5,0.499958
4.468570733206675,1.9432146187950583,1,0.099999
4.568570733206675,1.9432146187950583,4,0.400063
4.668570733206675,1.9432146187950583,3,0.299909
4.768570733206675,1.9432146187950583,2,0.200223
6.068570733206676,1.9432146187950583,5,0.500052
4.768570733206675,2.0432146187950586,1,0.100034
4.868570733206675,2.0432146187950586,2,0.199863
4.9685707332066755,2.0432146187950586,2,0.200116
5.068570733206675,2.0432146187950586,1,0.099985
6.068570733206676,2.0432146187950586,9,0.899927
5.068570733206675,2.1432146187950583,2,0.199724
5.168570733206676,2.1432146187950583,2,0.200056
5.268570733206675,2.1432146187950583,1,0.10025
6.168570733206677,2.1432146187950583,3,0.300061
6.468570733206676,2.1432146187950583,35,3.500121
5.268570733206675,2.243214618795059,2,0.199985
5.368570733206676,2.243214618795059,3,0.299894
5.4685707332066755,2.243214618795059,3,0.300158
6.268570733206676,2.243214618795059,2,0.199819
6.368570733206677,2.243214618795059,6,0.600348
6.468570733206676,2.243214618795059,266,26.599763
5.568570733206676,2.3432146187950584,4,0.399781
5.668570733206676,2.3432146187950584,2,0.200412
6.068570733206676,2.3432146187950584,1,0.099995
6.168570733206677,2.3432146187950584,8,0.799946
6.268570733206676,2.3432146187950584,6,0.59972
6.368570733206677,2.3432146187950584,2,0.200107
5.668570733206676,2.443214618795059,2,0.19966
5.768570733206676,2.443214618795059,6,0.600014
5.868570733206676,2.443214618795059,2,0.200176
5.968570733206676,2.443214618795059,1,0.099885
6.068570733206676,2.443214618795059,2,0.200044
6.268570733206676,2.443214618795059,788,78.800075
5.768570733206676,2.5432146187950586,45,4.500069
5.868570733206676,2.5432146187950586,9,0.899837
