frame,points,stamp
map,"[{""x"":5.845260099831297,""y"":2.5102052591289805,""yaw"":0.0},{""x"":5.9075,""y"":2.537,""yaw"":0.9668000000000001}]",1788733971.462167
map,"[{""x"":5.845260099831297,""y"":2.5102052591289805,""yaw"":0.0},{""x"":5.9075,""y"":2.537,""yaw"":0.9668000000000001}]",1788733974.518753
map,"[{""x"":5.845260099831297,""y"":2.5102052591289805,""yaw"":0.0},{""x"":5.870870451775421,""y"":2.541183653145282,""yaw"":0.0},{""x"":5.886870818224782,""y"":2.560392942982304,""yaw"":0.0},{""x"":5.90417275940057,""y"":2.5784379871965086,""yaw"":0.0},{""x"":5.921436553603133,""y"":2.596519652505009,""yaw"":0.0},{""x"":5.9380518492608765,""y"":2.6151994623536723,""yaw"":0.0},{""x"":5.955308014068795,""y"":2.6332887570568175,""yaw"":0.0},{""x"":5.972533661298133,""y"":2.6514070434596135,""yaw"":0.0},{""x"":5.98937020940058,""y"":2.6698884890475085,""yaw"":0.0},{""x"":6.006598908387776,""y"":2.6880021978135176,""yaw"":0.0},{""x"":6.02380166743318,""y"":2.7061433724002484,""yaw"":0.0},{""x"":6.040746552939584,""y"":2.724525635857759,""yaw"":0.0},{""x"":6.057955415500704,""y"":2.742659181049845,""yaw"":0.0},{""x"":6.074862154033884,""y"":2.7610750138437936,""yaw"":0.0},{""x"":6.091854341787087,""y"":2.779413026812364,""yaw"":0.0},{""x"":6.109034212648556,""y"":2.7975740378251714,""yaw"":0.0},{""x"":6.126093539074635,""y"":2.815849489757653,""yaw"":0.0},{""x"":6.14317270192679,""y"":2.834106631142987,""yaw"":0.0},{""x"":6.160346469272543,""y"":2.8522737456715106,""yaw"":0.0},{""x"":6.178347262997807,""y"":2.869622989094097,""yaw"":0.0},{""x"":6.195875034255085,""y"":2.8874483067425274,""yaw"":0.0},{""x"":6.21310525912121,""y"":2.9055620155085364,""yaw"":0.0},{""x"":6.23124795958687,""y"":2.922763248675011,""yaw"":0.0},{""x"":6.248613987677675,""y"":2.940747257732056,""yaw"":0.0},{""x"":6.26548410511656,""y"":2.9591966598624424,""yaw"":0.0},{""x"":6.282470189354047,""y"":2.9775392504677995,""yaw"":0.0},{""x"":6.29904123452285,""y"":2.9962587331686166,""yaw"":0.0},{""x"":6.315534459866274,""y"":3.015045354542309,""yaw"":0.0},{""x"":6.331490575826695,""y"":3.0342927913525557,""yaw"":0.0},{""x"":6.347310888562436,""y"":3.0536500914456894,""yaw"":0.0},{""x"":6.362676489377339,""y"":3.073370550723922,""yaw"":0.0},{""x"":6.377822363626468,""y"":3.0932603825632725,""yaw"":0.0},{""x"":6.3933039312399735,""y"":3.112889289105766,""yaw"":0.0},{""x"":6.408384192695156,""y"":3.132829474949773,""yaw"":0.0},{""x"":6.4232584604949245,""y"":3.1529222486866786,""yaw"":0.0},{""x"":6.438256324487941,""y"":3.172924995566774,""yaw"":0.0},{""x"":6.450950111298187,""y"":3.1944627766494307,""yaw"":0.0},{""x"":6.464425148120075,""y"":3.2155199058694564,""yaw"":0.0},{""x"":6.478203834848831,""y"":3.2363801967076427,""yaw"":0.0},{""x"":6.492225136327296,""y"":3.2570772185004273,""yaw"":0.0},{""x"":6.505820717584573,""y"":3.2780580537740036,""yaw"":0.0},{""x"":6.519729104022293,""y"":3.2988328953921666,""yaw"":0.0},{""x"":6.53419901390588,""y"":3.319218637883438,""yaw"":0.0},{""x"":6.548226418900061,""y"":3.3399126079183645,""yaw"":0.0},{""x"":6.562327066082833,""y"":3.3605562239486346,""yaw"":0.0},{""x"":6.5765436800642085,""y"":3.3811204942745974,""yaw"":0.0},{""x"":6.590851846781323,""y"":3.4016222035644716,""yaw"":0.0},{""x"":6.605118814767355,""y"":3.4221513786750677,""yaw"":0.0},{""x"":6.619478861368055,""y"":3.4426149409917173,""yaw"":0.0},{""x"":6.6337992351166015,""y"":3.4631074950080176,""yaw"":0.0},{""x"":6.6483118696102,""y"":3.483462719920709,""yaw"":0.0},{""x"":6.662859599319166,""y"":3.5037950566494658,""yaw"":0.0},{""x"":6.677475993579936,""y"":3.524077039373566,""yaw"":0.0},{""x"":6.692031352683546,""y"":3.5444032725866066,""yaw"":0.0},{""x"":6.706710307980405,""y"":3.564639478942837,""yaw"":0.0},{""x"":6.721299236420453,""y"":3.584941298093014,""yaw"":0.0},{""x"":6.735807293277265,""y"":3.6053011006424924,""yaw"":0.0},{""x"":6.750162762241178,""y"":3.625769240595929,""yaw"":0.0},{""x"":6.764531964115452,""y"":3.6462266993968626,""yaw"":0.0},{""x"":6.778949994115454,""y"":3.6666505888613585,""yaw"":0.0},{""x"":6.793322247747586,""y"":3.687106521783363,""yaw"":0.0},{""x"":6.807639569738274,""y"":3.7075990757996635,""yaw"":0.0},{""x"":6.821934003545028,""y"":3.7281099403631117,""yaw"":0.0},{""x"":6.8362436961410715,""y"":3.748610123774057,""yaw"":0.0},{""x"":6.850492353579956,""y"":3.769151505916085,""yaw"":0.0},{""x"":6.86478526150778,""y"":3.789662370479533,""yaw"":0.0},{""x"":6.879108687014185,""y"":3.8101533986169045,""yaw"":0.0},{""x"":6.893413801973441,""y"":3.8306566337857078,""yaw"":0.0},{""x"":6.907734175721988,""y"":3.851147661923079,""yaw"":0.0},{""x"":6.922039290681244,""y"":3.8716508970918824,""yaw"":0.0},{""x"":6.9363764490980095,""y"":3.892131244076751,""yaw"":0.0},{""x"":6.950698348725485,""y"":3.912622272214122,""yaw"":0.0},{""x"":6.965052291810469,""y"":3.9330904121675587,""yaw"":0.0},{""x"":6.979430648958317,""y"":3.9535417674527764,""yaw"":0.0},{""x"":6.993776962648656,""y"":3.974016010921929,""yaw"":0.0},{""x"":7.008170578585794,""y"":3.9944566850546437,""yaw"":0.0},{""x"":7.022532151065423,""y"":4.014920247371293,""yaw"":0.0},{""x"":7.036919663486845,""y"":4.035365499140795,""yaw"":0.0},{""x"":7.051320908818628,""y"":4.055801595636723,""yaw"":0.0},{""x"":7.065709947118979,""y"":4.076243795648367,""yaw"":0.0},{""x"":7.0801249253611225,""y"":4.0966707368707205,""yaw"":0.0},{""x"":7.094517015419331,""y"":4.117111411003435,""yaw"":0.0},{""x"":7.108901476082895,""y"":4.137559714530795,""yaw"":0.0},{""x"":7.123324083719684,""y"":4.157980552237433,""yaw"":0.0},{""x"":7.1377451654775435,""y"":4.178401389944071,""yaw"":0.0},{""x"":7.152074694499664,""y"":4.198886314565726,""yaw"":0.0},{""x"":7.1663721800642755,""y"":4.2193956532502455,""yaw"":0.0},{""x"":7.18078563242749,""y"":4.239822594472599,""yaw"":0.0},{""x"":7.195260119947864,""y"":4.260205285206013,""yaw"":0.0},{""x"":7.2519,""y"":4.2985,""yaw"":0.9814000000000003}]",1788733984.1963093
map,"[{""x"":5.945260101321413,""y"":2.6602052613641547,""yaw"":0.0},{""x"":5.972999054371474,""y"":2.6852647710149142,""yaw"":0.0},{""x"":5.990848786082768,""y"":2.7027681282093283,""yaw"":0.0},{""x"":6.008655793184051,""y"":2.720314210013754,""yaw"":0.0},{""x"":6.026476533195694,""y"":2.737848084786748,""yaw"":0.0},{""x"":6.044311006117699,""y"":2.755368226649381,""yaw"":0.0},{""x"":6.062160737828993,""y"":2.772871583843795,""yaw"":0.0},{""x"":6.080001314266713,""y"":2.790385622190712,""yaw"":0.0},{""x"":6.0982218345577515,""y"":2.8075029320160922,""yaw"":0.0},{""x"":6.11698404186858,""y"":2.8240251490591675,""yaw"":0.0},{""x"":6.1353052701689315,""y"":2.8410356473595186,""yaw"":0.0},{""x"":6.153505954033893,""y"":2.8581743194899047,""yaw"":0.0},{""x"":6.172442111542626,""y"":2.8744951205143536,""yaw"":0.0},{""x"":6.1906275366182975,""y"":2.8916505773129586,""yaw"":0.0},{""x"":6.208437595477438,""y"":2.9091951332384554,""yaw"":0.0},{""x"":6.226247654336579,""y"":2.926739689163952,""yaw"":0.0},{""x"":6.24343820635055,""y"":2.944891544903186,""yaw"":0.0},{""x"":6.2611643418685965,""y"":2.962520024169777,""yaw"":0.0},{""x"":6.27821603890003,""y"":2.9808031054969035,""yaw"":0.0},{""x"":6.294677220785946,""y"":2.9996171926913178,""yaw"":0.0},{""x"":6.311237584802246,""y"":3.0183473565446377,""yaw"":0.0},{""x"":6.327298986408767,""y"":3.037504766498074,""yaw"":0.0},{""x"":6.3429361936730295,""y"":3.0570100768473196,""yaw"":0.0},{""x"":6.35841013189189,""y"":3.076646612784458,""yaw"":0.0},{""x"":6.373691809365699,""y"":3.0964326848566373,""yaw"":0.0},{""x"":6.389298499051382,""y"":3.1159624092687466,""yaw"":0.0},{""x"":6.404361975838345,""y"":3.1359148021441854,""yaw"":0.0},{""x"":6.419289649400628,""y"":3.1559679030289374,""yaw"":0.0},{""x"":6.434365333219024,""y"":3.1759111406308023,""yaw"":0.0},{""x"":6.447259010168967,""y"":3.197329903156998,""yaw"":0.0},{""x"":6.460848487910528,""y"":3.218313790188432,""yaw"":0.0},{""x"":6.4747217791328815,""y"":3.23911151999053,""yaw"":0.0},{""x"":6.488819374557796,""y"":3.259756661899729,""yaw"":0.0},{""x"":6.501000466047902,""y"":3.2815889376156804,""yaw"":0.0},{""x"":6.51393228997107,""y"":3.3029848119579412,""yaw"":0.0},{""x"":6.527887978655588,""y"":3.3237260842396665,""yaw"":0.0},{""x"":6.541988625838361,""y"":3.3443697002699366,""yaw"":0.0},{""x"":6.555594888248141,""y"":3.365342906148868,""yaw"":0.0},{""x"":6.569555154569446,""y"":3.3860826525516643,""yaw"":0.0},{""x"":6.5837961826136855,""y"":3.406630138209408,""yaw"":0.0},{""x"":6.598037210657925,""y"":3.427177623867152,""yaw"":0.0},{""x"":6.612443033626494,""y"":3.447609142726293,""yaw"":0.0},{""x"":6.627239481600885,""y"":3.4677598998625,""yaw"":0.0},{""x"":6.641919962776672,""y"":3.4879961062187306,""yaw"":0.0},{""x"":6.656408183207407,""y"":3.50836964167857,""yaw"":0.0},{""x"":6.670859782543847,""y"":3.528770642959131,""yaw"":0.0},{""x"":6.6853769946742325,""y"":3.5491228161139645,""yaw"":0.0},{""x"":6.7001139333703925,""y"":3.5693178237391123,""yaw"":0.0},{""x"":6.71482493212476,""y"":3.589531141911408,""yaw"":0.0},{""x"":6.729502361542689,""y"":3.6097688741465674,""yaw"":0.0},{""x"":6.744048565372726,""y"":3.630101210875324,""yaw"":0.0},{""x"":6.7586970030910045,""y"":3.6503603054154894,""yaw"":0.0},{""x"":6.77333475965678,""y"":3.6706270293502996,""yaw"":0.0},{""x"":6.7879343692493315,""y"":3.6909212191058316,""yaw"":0.0},{""x"":6.802468366047936,""y"":3.711261185229233,""yaw"":0.0},{""x"":6.817016095756902,""y"":3.73159352195799,""yaw"":0.0},{""x"":6.831566877223725,""y"":3.7519228069288886,""yaw"":0.0},{""x"":6.846081037596253,""y"":3.77227803184158,""yaw"":0.0},{""x"":6.860624189668432,""y"":3.7926118944492657,""yaw"":0.0},{""x"":6.875129194767386,""y"":3.812974748756602,""yaw"":0.0},{""x"":6.889649458655629,""y"":3.8333253960325067,""yaw"":0.0},{""x"":6.904201766001382,""y"":3.8536546810034054,""yaw"":0.0},{""x"":6.918720504010697,""y"":3.87400532827931,""yaw"":0.0},{""x"":6.933259078446088,""y"":3.8943422426448535,""yaw"":0.0},{""x"":6.947788497607906,""y"":3.914688312283971,""yaw"":0.0},{""x"":6.962342330832588,""y"":3.935014545497012,""yaw"":0.0},{""x"":6.976911422846559,""y"":3.9553316234364786,""yaw"":0.0},{""x"":6.991440842008377,""y"":3.975676167196667,""yaw"":0.0},{""x"":7.006020615174851,""y"":3.99598408986256,""yaw"":0.0},{""x"":7.020560715489172,""y"":4.016321004228104,""yaw"":0.0},{""x"":7.035122178108498,""y"":4.0366411339254284,""yaw"":0.0},{""x"":7.049698899517114,""y"":4.056953634228108,""yaw"":0.0},{""x"":7.064258836257512,""y"":4.077275289804362,""yaw"":0.0},{""x"":7.078841661181844,""y"":4.097581686591326,""yaw"":0.0},{""x"":7.093397020285455,""y"":4.117907919804367,""yaw"":0.0},{""x"":7.107947801752278,""y"":4.138237204775265,""yaw"":0.0},{""x"":7.122532152555539,""y"":4.1585420756833,""yaw"":0.0},{""x"":7.137111925722014,""y"":4.178849998349193,""yaw"":0.0},{""x"":7.151604723789536,""y"":4.1992204820511745,""yaw"":0.0},{""x"":7.16606395252062,""y"":4.219613853937091,""yaw"":0.0},{""x"":7.180633044534591,""y"":4.2399309318765575,""yaw"":0.0},{""x"":7.195260119947864,""y"":4.260205285206013,""yaw"":0.0},{""x"":7.2519,""y"":4.2985,""yaw"":0.9814000000000003}]",1788733985.2266455
map,"[{""x"":6.345260107281877,""y"":3.010205266579561,""yaw"":0.0},{""x"":6.35129801020388,""y"":3.050663946381661,""yaw"":0.0},{""x"":6.365424597328445,""y"":3.0712892518647834,""yaw"":0.0},{""x"":6.379725134650915,""y"":3.0917970646703736,""yaw"":0.0},{""x"":6.393760169039741,""y"":3.1124834053106554,""yaw"":0.0},{""x"":6.408536780588054,""y"":3.1326509471150814,""yaw"":0.0},{""x"":6.423322547409942,""y"":3.1528093336459335,""yaw"":0.0},{""x"":6.438134254173622,""y"":3.172949409629638,""yaw"":0.0},{""x"":6.453084815919841,""y"":3.192985725846171,""yaw"":0.0},{""x"":6.467794288795279,""y"":3.2132005698973956,""yaw"":0.0},{""x"":6.48246866645535,""y"":3.233441353890413,""yaw"":0.0},{""x"":6.497149147631138,""y"":3.2536760343677145,""yaw"":0.0},{""x"":6.51195780263696,""y"":3.2738191621092767,""yaw"":0.0},{""x"":6.5266672755123984,""y"":3.2940340061605013,""yaw"":0.0},{""x"":6.541599526711469,""y"":3.3140825294084664,""yaw"":0.0},{""x"":6.5562586455822505,""y"":3.3343355204329157,""yaw"":0.0},{""x"":6.57083078935408,""y"":3.3546495466145245,""yaw"":0.0},{""x"":6.585268655780158,""y"":3.3750581772897306,""yaw"":0.0},{""x"":6.599700418690521,""y"":3.3954713856017236,""yaw"":0.0},{""x"":6.614177957968753,""y"":3.415854076335137,""yaw"":0.0},{""x"":6.628582255058394,""y"":3.4362871210732067,""yaw"":0.0},{""x"":6.642925516990875,""y"":3.456762890421288,""yaw"":0.0},{""x"":6.657253520134066,""y"":3.4772493409218725,""yaw"":0.0},{""x"":6.671561686851181,""y"":3.497751050211747,""yaw"":0.0},{""x"":6.68595377690939,""y"":3.5181917243444616,""yaw"":0.0},{""x"":6.700271098900078,""y"":3.538685804239691,""yaw"":0.0},{""x"":6.714551799796471,""y"":3.559205824076713,""yaw"":0.0},{""x"":6.7288630182714435,""y"":3.5797044816087293,""yaw"":0.0},{""x"":6.74307810637389,""y"":3.600270277813621,""yaw"":0.0},{""x"":6.757088726699852,""y"":3.6209749290010507,""yaw"":0.0},{""x"":6.771128338725465,""y"":3.6416597437624034,""yaw"":0.0},{""x"":6.785257977607888,""y"":3.6622850492455257,""yaw"":0.0},{""x"":6.7991602605298915,""y"":3.6830629426215467,""yaw"":0.0},{""x"":6.813134259761558,""y"":3.70379200787184,""yaw"":0.0},{""x"":6.827131147177159,""y"":3.7245073402117725,""yaw"":0.0},{""x"":6.841160078050269,""y"":3.7451997843677702,""yaw"":0.0},{""x"":6.855118818492645,""y"":3.7659395307705665,""yaw"":0.0},{""x"":6.869138594092181,""y"":3.78663807844228,""yaw"":0.0},{""x"":6.883205671938516,""y"":3.807306108535414,""yaw"":0.0},{""x"":6.89721324050662,""y"":3.8280122856017726,""yaw"":0.0},{""x"":6.911284895989741,""y"":3.8486772639370486,""yaw"":0.0},{""x"":6.925355025593934,""y"":3.8693407163933955,""yaw"":0.0},{""x"":6.939466353929209,""y"":3.8899767030290207,""yaw"":0.0},{""x"":6.953563949354123,""y"":3.9106233708171487,""yaw"":0.0},{""x"":6.967701217631191,""y"":3.931242572784555,""yaw"":0.0},{""x"":6.981870529365768,""y"":3.9518388865680265,""yaw"":0.0},{""x"":6.996038315221416,""y"":3.972436726230427,""yaw"":0.0},{""x"":7.010236618655643,""y"":3.9930147294667506,""yaw"":0.0},{""x"":7.024404404511291,""y"":4.013611043250222,""yaw"":0.0},{""x"":7.038601182066589,""y"":4.034189046486546,""yaw"":0.0},{""x"":7.052842210110828,""y"":4.05473653214429,""yaw"":0.0},{""x"":7.067060349971133,""y"":4.075300802470252,""yaw"":0.0},{""x"":7.081296800378585,""y"":4.095851339885854,""yaw"":0.0},{""x"":7.095524095512463,""y"":4.116407980817172,""yaw"":0.0},{""x"":7.109774278830276,""y"":4.1369493629592,""yaw"":0.0},{""x"":7.124039720937379,""y"":4.157480063948725,""yaw"":0.0},{""x"":7.138286852497334,""y"":4.178022971969682,""yaw"":0.0},{""x"":7.152546191088721,""y"":4.198556724717065,""yaw"":0.0},{""x"":7.1667231322179425,""y"":4.2191484608637495,""yaw"":0.0},{""x"":7.180974841414685,""y"":4.2396883171268485,""yaw"":0.0},{""x"":7.195260119947864,""y"":4.260205285206013,""yaw"":0.0},{""x"":7.2519,""y"":4.2985,""yaw"":0.9814000000000003}]",1788733986.2452662
map,"[{""x"":6.595260111007168,""y"":3.3046402212488317,""yaw"":0.0},{""x"":6.585201517107283,""y"":3.3394470454979626,""yaw"":0.0},{""x"":6.59833017941229,""y"":3.3607223754048334,""yaw"":0.0},{""x"":6.611559549726611,""y"":3.381935144275616,""yaw"":0.0},{""x"":6.624843851682375,""y"":3.4031128179310315,""yaw"":0.0},{""x"":6.637731425116602,""y"":3.424536158094014,""yaw"":0.0},{""x"":6.651536051787151,""y"":3.4453781383850526,""yaw"":0.0},{""x"":6.665030925035115,""y"":3.4664230605736464,""yaw"":0.0},{""x"":6.678602092229529,""y"":3.4874191546365125,""yaw"":0.0},{""x"":6.692014568015328,""y"":3.508515956708692,""yaw"":0.0},{""x"":6.705747478376214,""y"":3.529406765125458,""yaw"":0.0},{""x"":6.719524639226041,""y"":3.550268581842573,""yaw"":0.0},{""x"":6.733259075465856,""y"":3.5711578643804103,""yaw"":0.0},{""x"":6.7471079526253455,""y"":3.591970852971798,""yaw"":0.0},{""x"":6.760914105174823,""y"":3.6128128332628364,""yaw"":0.0},{""x"":6.774750775302881,""y"":3.633634977127798,""yaw"":0.0},{""x"":6.788605755978086,""y"":3.6544449139613278,""yaw"":0.0},{""x"":6.802373761554339,""y"":3.67531130831523,""yaw"":0.0},{""x"":6.81620432816668,""y"":3.6961380298169786,""yaw"":0.0},{""x"":6.83002268774759,""y"":3.716970854834443,""yaw"":0.0},{""x"":6.843882246059582,""y"":3.737777739910115,""yaw"":0.0},{""x"":6.857683820972273,""y"":3.7586227719590113,""yaw"":0.0},{""x"":6.871552534557839,""y"":3.779423553518967,""yaw"":0.0},{""x"":6.885473128026991,""y"":3.800189239863556,""yaw"":0.0},{""x"":6.899338789854699,""y"":3.820991547302441,""yaw"":0.0},{""x"":6.913273116234212,""y"":3.841748078373456,""yaw"":0.0},{""x"":6.9272059167347955,""y"":3.8625061353234003,""yaw"":0.0},{""x"":6.941186019482178,""y"":3.8832321488158357,""yaw"":0.0},{""x"":6.955175277503134,""y"":3.903952058792555,""yaw"":0.0},{""x"":6.969173690797664,""y"":3.9246643393746297,""yaw"":0.0},{""x"":6.983217880460064,""y"":3.9453476282570534,""yaw"":0.0},{""x"":6.997248337212103,""y"":3.966038546534122,""yaw"":0.0},{""x"":7.011324570332011,""y"":3.98670047311154,""yaw"":0.0},{""x"":7.025379441146914,""y"":4.00737460672039,""yaw"":0.0},{""x"":7.039472458935041,""y"":4.028024326266376,""yaw"":0.0},{""x"":7.053609727212109,""y"":4.048642002354853,""yaw"":0.0},{""x"":7.067728684942029,""y"":4.0692734113536915,""yaw"":0.0},{""x"":7.0818766343716,""y"":4.089884983926453,""yaw"":0.0},{""x"":7.096020006164384,""y"":4.110501134136001,""yaw"":0.0},{""x"":7.110189317898961,""y"":4.131097447919473,""yaw"":0.0},{""x"":7.124376940180685,""y"":4.151681554671512,""yaw"":0.0},{""x"":7.138547777794191,""y"":4.172277868454984,""yaw"":0.0},{""x"":7.152749132986276,""y"":4.192852819933449,""yaw"":0.0},{""x"":7.166858935442622,""y"":4.2134888065690745,""yaw"":0.0},{""x"":7.181043505966489,""y"":4.234075965078972,""yaw"":0.0},{""x"":7.195260119947864,""y"":4.254640235404935,""yaw"":0.0},{""x"":7.245260120692922,""y"":4.304640236149993,""yaw"":0.0},{""x"":7.2519,""y"":4.2985,""yaw"":0.9814000000000003}]",1788733987.2650628
map,"[{""x"":6.845260114732458,""y"":3.704640227209296,""yaw"":0.0},{""x"":6.840302534092178,""y"":3.740277129595796,""yaw"":0.0},{""x"":6.853789777945497,""y"":3.761326629421177,""yaw"":0.0},{""x"":6.8674067215077805,""y"":3.7822922059054633,""yaw"":0.0},{""x"":6.881110640169016,""y"":3.803202850748306,""yaw"":0.0},{""x"":6.89528452954038,""y"":3.8237961127739197,""yaw"":0.0},{""x"":6.909498091763897,""y"":3.8443619089788115,""yaw"":0.0},{""x"":6.923409529959475,""y"":3.8651336988391165,""yaw"":0.0},{""x"":6.937418624406508,""y"":3.885839875905475,""yaw"":0.0},{""x"":6.951571151472866,""y"":3.9064499225993075,""yaw"":0.0},{""x"":6.965780136059596,""y"":3.927018770562057,""yaw"":0.0},{""x"":6.98002879349848,""y"":3.947560152704085,""yaw"":0.0},{""x"":6.994152328865187,""y"":3.9681885099450653,""yaw"":0.0},{""x"":7.008504746071242,""y"":3.988658175777431,""yaw"":0.0},{""x"":7.02273356708405,""y"":4.009214816708749,""yaw"":0.0},{""x"":7.037009690343655,""y"":4.0297363624247,""yaw"":0.0},{""x"":7.051439927375089,""y"":4.050152622494551,""yaw"":0.0},{""x"":7.065784715186499,""y"":4.070626865963703,""yaw"":0.0},{""x"":7.080155442939702,""y"":4.091084324764637,""yaw"":0.0},{""x"":7.094457506141101,""y"":4.111589085812369,""yaw"":0.0},{""x"":7.1088694326253865,""y"":4.132016027034723,""yaw"":0.0},{""x"":7.123295092020033,""y"":4.152435338862432,""yaw"":0.0},{""x"":7.137668871531094,""y"":4.172889745905508,""yaw"":0.0},{""x"":7.1521174191096755,""y"":4.193290747186069,""yaw"":0.0},{""x"":7.166430163463577,""y"":4.213789404718085,""yaw"":0.0},{""x"":7.180826831158573,""y"":4.234227027092942,""yaw"":0.0},{""x"":7.195260119947864,""y"":4.254640235404935,""yaw"":0.0},{""x"":7.245260120692922,""y"":4.304640236149993,""yaw"":0.0},{""x"":7.2519,""y"":4.2985,""yaw"":0.9814000000000003}]",1788733988.2951975
map,"[{""x"":7.04526011771269,""y"":4.004640231679645,""yaw"":0.0},{""x"":7.03650615029709,""y"":4.030165134403745,""yaw"":0.0},{""x"":7.051893113416998,""y"":4.049868809013759,""yaw"":0.0},{""x"":7.065861009132949,""y"":4.0706024519008395,""yaw"":0.0},{""x"":7.079976915105011,""y"":4.091236912657536,""yaw"":0.0},{""x"":7.09363047976159,""y"":4.112178075078958,""yaw"":0.0},{""x"":7.1081507436498335,""y"":4.132530248233792,""yaw"":0.0},{""x"":7.122710680390231,""y"":4.1528519038100455,""yaw"":0.0},{""x"":7.137028002380919,""y"":4.173345983705275,""yaw"":0.0},{""x"":7.1517466305299315,""y"":4.193554724240784,""yaw"":0.0},{""x"":7.166114306525277,""y"":4.214013708920646,""yaw"":0.0},{""x"":7.180646777444952,""y"":4.234356726801906,""yaw"":0.0},{""x"":7.195260119947864,""y"":4.254640235404935,""yaw"":0.0},{""x"":7.245260120692922,""y"":4.304640236149993,""yaw"":0.0},{""x"":7.2519,""y"":4.2985,""yaw"":0.9814000000000003}]",1788733989.324624
map,"[{""x"":7.195260119947864,""y"":4.210602716336567,""yaw"":0.0},{""x"":7.145260119202806,""y"":4.210602716336567,""yaw"":0.0},{""x"":7.120260118830277,""y"":4.210602716336567,""yaw"":0.0},{""x"":7.095260118457748,""y"":4.210602716336567,""yaw"":0.0},{""x"":7.070260118085219,""y"":4.210602716336567,""yaw"":0.0},{""x"":7.04526011771269,""y"":4.210602716336567,""yaw"":0.0},{""x"":7.020260117340161,""y"":4.210602716336567,""yaw"":0.0},{""x"":6.995260116967632,""y"":4.210602716336567,""yaw"":0.0},{""x"":6.970260116595103,""y"":4.210602716336567,""yaw"":0.0},{""x"":6.945260116222574,""y"":4.210602716336567,""yaw"":0.0},{""x"":6.895260115477516,""y"":4.160602715591509,""yaw"":0.0},{""x"":6.8889,""y"":4.1384,""yaw"":3.0424}]",1788733992.789097
map,"[{""x"":7.195260119947864,""y"":4.210602716336567,""yaw"":0.0},{""x"":7.145260119202806,""y"":4.210602716336567,""yaw"":0.0},{""x"":7.120260118830277,""y"":4.210602716336567,""yaw"":0.0},{""x"":7.095260118457748,""y"":4.210602716336567,""yaw"":0.0},{""x"":7.070260118085219,""y"":4.210602716336567,""yaw"":0.0},{""x"":7.04526011771269,""y"":4.210602716336567,""yaw"":0.0},{""x"":7.020260117340161,""y"":4.210602716336567,""yaw"":0.0},{""x"":6.995260116967632,""y"":4.210602716336567,""yaw"":0.0},{""x"":6.970260116595103,""y"":4.210602716336567,""yaw"":0.0},{""x"":6.945260116222574,""y"":4.210602716336567,""yaw"":0.0},{""x"":6.895260115477516,""y"":4.160602715591509,""yaw"":0.0},{""x"":6.8889,""y"":4.1384,""yaw"":3.0424}]",1788733993.8193598
