detail,kind,stamp
floor2,map_load_start,1788822149.741795
floor2,map_load_done,1788822186.662991
3.0m/20deg,scan_informative,1788822187.3073654
"floor2 2.6825,1.5507 yaw 42.21 fit 68.4%",localized,1788822205.3369846
f2_lift_door,leg_start,1788822206.3220222
f2_lift_door arrived 18s,leg_end,1788822224.298245
f2_call_button,leg_start,1788822224.950473
f2_call_button arrived 15s,leg_end,1788822239.9809446
the small round blue button on the metal call plate,press_start,1788822241.3008618
the small round blue button on the metal call plate,press_contact,1788822272.9603264
f2_lift_door,leg_start,1788822275.4216547
f2_lift_door arrived 17s,leg_end,1788822292.6971986
open,doors_wait,1788822293.3301287
,doors_open,1788822299.8617086
f2_car_at_panel,leg_start,1788822299.8855345
f2_car_at_panel arrived 9s,leg_end,1788822308.9822779
f2_car_panel,leg_start,1788822310.2253268
f2_car_panel arrived 14s,leg_end,1788822324.2815099
the round blue button with a number on it,press_start,1788822325.2709427
the round blue button with a number on it,press_completed,1788822355.0276968
f2_car_at_doors,leg_start,1788822357.4430687
f2_car_at_doors arrived 8s,leg_end,1788822365.6690145
floor1 (background),map_load_start,1788822368.4440074
floor1,map_load_start,1788822368.4664536
close,doors_wait,1788822368.4667325
,doors_closed,1788822369.2949448
2->1,ride_start,1788822373.5527508
floor1,map_load_done,1788822416.8093588
floor1 (background),map_load_done,1788822416.8272457
3.0m/20deg,scan_informative,1788822425.398451
floor1 attempt 2,localization_rejected,1788822432.8486133
floor1 attempt 3,localization_rejected,1788822436.2469234
floor1 attempt 4,localization_rejected,1788822439.0713305
