x_m,y_m,samples,dwell_s
2.8154576363722175,1.6900149471899975,1044,104.400047
2.915457636372217,1.6900149471899975,2,0.200099
3.0154576363722176,1.6900149471899975,1,0.100298
3.1154576363722173,1.6900149471899975,3,0.302977
3.215457636372218,1.6900149471899975,2,0.196579
3.3154576363722175,1.7900149471899975,2,0.199953
3.415457636372218,1.7900149471899975,2,0.200033
3.5154576363722176,1.7900149471899975,2,0.200006
3.615457636372218,1.7900149471899975,3,0.300342
3.715457636372218,1.7900149471899975,2,0.200089
3.8154576363722184,1.8900149471899976,1,0.099638
3.915457636372218,1.8900149471899976,2,0.199847
4.0154576363722185,1.8900149471899976,2,0.200107
4.115457636372218,1.8900149471899976,2,0.200051
4.215457636372219,1.8900149471899976,2,0.200251
4.315457636372218,1.9900149471899977,2,0.199518
4.415457636372219,1.9900149471899977,2,0.200149
4.5154576363722185,1.9900149471899977,3,0.300347
4.615457636372219,2.0900149471899976,2,0.199859
4.715457636372219,2.0900149471899976,2,0.200185
4.815457636372219,2.0900149471899976,2,0.199804
4.915457636372219,2.0900149471899976,2,0.200164
5.015457636372219,2.190014947189998,2,0.19989
5.115457636372219,2.190014947189998,2,0.200104
5.21545763637222,2.190014947189998,2,0.199981
6.415457636372221,2.190014947189998,511,51.100348
5.315457636372219,2.2900149471899978,3,0.299609
5.41545763637222,2.2900149471899978,2,0.200069
5.515457636372219,2.2900149471899978,2,0.199996
6.11545763637222,2.2900149471899978,1,0.100255
6.2154576363722205,2.2900149471899978,3,0.29948
6.31545763637222,2.2900149471899978,8,0.799507
6.415457636372221,2.2900149471899978,4,0.40025
5.515457636372219,2.3900149471899983,1,0.100361
5.61545763637222,2.3900149471899983,4,0.400003
5.71545763637222,2.3900149471899983,3,0.299689
6.01545763637222,2.3900149471899983,2,0.199396
6.11545763637222,2.3900149471899983,7,0.700531
6.2154576363722205,2.3900149471899983,2,0.200122
6.31545763637222,2.3900149471899983,1,0.099809
5.71545763637222,2.490014947189998,1,0.100332
5.81545763637222,2.490014947189998,70,7.000045
5.91545763637222,2.490014947189998,3,0.29957
6.01545763637222,2.490014947189998,136,13.600733
6.01545763637222,2.5900149471899985,2,0.200011
6.11545763637222,2.690014947189998,3,0.299617
6.11545763637222,2.7900149471899987,1,0.100205
6.2154576363722205,2.7900149471899987,1,0.099797
6.2154576363722205,2.8900149471899983,3,0.300284
6.31545763637222,2.990014947189999,2,0.200025
6.31545763637222,3.0900149471899985,1,0.099658
6.415457636372221,3.0900149471899985,2,0.20005
6.415457636372221,3.190014947189999,1,0.100404
6.51545763637222,3.190014947189999,2,0.199784
6.51545763637222,3.2900149471899987,1,0.099774
6.615457636372221,3.2900149471899987,1,0.101593
6.615457636372221,3.390014947189999,3,0.298373
6.7154576363722205,3.490014947189999,2,0.200102
6.7154576363722205,3.5900149471899994,1,0.100203
6.815457636372221,3.5900149471899994,1,0.099812
6.815457636372221,3.690014947189999,3,0.300211
6.915457636372221,3.7900149471899995,3,0.299794
7.015457636372221,3.890014947189999,2,0.199846
7.015457636372221,3.9900149471899997,3,0.300324
7.115457636372221,4.090014947189999,4,0.399893
7.115457636372221,4.19001494719,1,0.100013
