child_frame,frame,stamp,vx,vy,wz,x,y,yaw,z
base_link,odom,1788813324.101145,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.1210961,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.1412222,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.1613114,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.1813369,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.2012742,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.2215466,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.2414577,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.2612128,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.2809167,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.3011148,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.3209758,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.3410442,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.3613722,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.3811703,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.7224958,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.7232707,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.7238805,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.7243383,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.7412271,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.7611053,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.7812648,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.80135,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.8211765,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.841149,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.8609042,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.880901,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.9010992,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.921053,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.9412827,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.961167,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813324.9808996,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.001277,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.0213702,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.0412204,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.0610108,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.0812755,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.1010618,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.1210318,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.1409225,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.161047,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.1808865,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.2013967,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.2210615,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.2410996,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.2610195,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.281046,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.3009102,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.3212557,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.6655207,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.6665108,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.6811724,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.7014818,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.7211921,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.7411592,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.760917,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.7812214,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.8011482,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.8208644,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.8410344,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.8612993,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.880985,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.901328,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.9210517,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.9409213,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.9612117,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813325.9809299,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813326.0012743,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813326.0208442,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813326.0412114,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813326.0613468,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813326.0808775,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813326.1012738,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813326.120919,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813326.1414065,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
base_link,odom,1788813326.1614301,0.0,0.0,0.0,-2.868551396692101,-3.7088363373216575,-2.3763267400482944,0.0
