stamp,vx,vy,vz,wx,wy,wz
1788813483.7728462,0.0384954959154129,0.0,0.0,0.0,0.0,-0.01176193356513977
1788813483.8390622,0.017122851684689522,0.0,0.0,0.0,0.0,-0.09518658369779587
1788813483.9612374,0.010871266014873981,0.0,0.0,0.0,0.0,-0.17134441435337067
1788813484.061585,0.014107032679021358,0.0,0.0,0.0,0.0,-0.26282837986946106
1788813484.1610806,0.025599602609872818,0.0,0.0,0.0,0.0,-0.36011478304862976
1788813484.2617273,0.03708039969205856,0.0,0.0,0.0,0.0,-0.43324151635169983
1788813484.3610404,0.04761108011007309,0.0,0.0,0.0,0.0,-0.4635635018348694
1788813484.4615204,0.056287795305252075,0.0,0.0,0.0,0.0,-0.48540788888931274
1788813484.5607133,0.06322647631168365,0.0,0.0,0.0,0.0,-0.5113776922225952
1788813484.6596441,0.08149120211601257,0.0,0.0,0.0,0.0,-0.5691716074943542
1788813484.7623124,0.11237221956253052,0.0,0.0,0.0,0.0,-0.6124528646469116
1788813484.8622339,0.12098141014575958,0.0,0.0,0.0,0.0,-0.6190467476844788
1788813484.9610302,0.13267219066619873,0.0,0.0,0.0,0.0,-0.6089907884597778
1788813485.061414,0.1469436138868332,0.0,0.0,0.0,0.0,-0.5918965339660645
1788813485.1608043,0.16995960474014282,0.0,0.0,0.0,0.0,-0.5658567547798157
1788813485.2616556,0.19374901056289673,0.0,0.0,0.0,0.0,-0.5302102565765381
1788813485.3613079,0.21088971197605133,0.0,0.0,0.0,0.0,-0.4830632209777832
1788813485.462142,0.2257080227136612,0.0,0.0,0.0,0.0,-0.4323800802230835
1788813485.5612676,0.23937802016735077,0.0,0.0,0.0,0.0,-0.38273724913597107
1788813485.661285,0.2564176321029663,0.0,0.0,0.0,0.0,-0.3328547477722168
1788813485.7608776,0.27157917618751526,0.0,0.0,0.0,0.0,-0.291654497385025
1788813485.8617654,0.28212130069732666,0.0,0.0,0.0,0.0,-0.2674029469490051
1788813485.9610794,0.2886989116668701,0.0,0.0,0.0,0.0,-0.26111143827438354
1788813486.0612197,0.29486340284347534,0.0,0.0,0.0,0.0,-0.26098981499671936
1788813486.1600633,0.30524948239326477,0.0,0.0,0.0,0.0,-0.2645667493343353
1788813486.2612197,0.32551366090774536,0.0,0.0,0.0,0.0,-0.26901546120643616
1788813486.3612993,0.35021331906318665,0.0,0.0,0.0,0.0,-0.2683073580265045
1788813486.4614272,0.377237468957901,0.0,0.0,0.0,0.0,-0.2610219419002533
