stamp,vx,vy,vz,wx,wy,wz
1788732082.6191123,0.0,0.0,0.0,0.0,0.0,0.0
1788732082.6692283,0.0,0.0,0.0,0.0,0.0,0.0
1788732082.719114,0.0,0.0,0.0,0.0,0.0,0.0
1788732082.7690125,0.0,0.0,0.0,0.0,0.0,0.0
1788732082.8190935,0.0,0.0,0.0,0.0,0.0,0.0
1788732082.869012,0.0,0.0,0.0,0.0,0.0,0.0
1788732082.919124,0.0,0.0,0.0,0.0,0.0,0.0
1788732082.9693322,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.0189402,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.0689318,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.1189597,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.1688619,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.2191708,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.5576015,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.559045,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.5690796,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.6189039,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.6690311,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.7190602,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.7688491,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.8188496,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.8690932,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.9188695,0.0,0.0,0.0,0.0,0.0,0.0
1788732083.969155,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.0191467,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.069431,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.1188068,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.1690652,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.2191696,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.5569193,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.5577786,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.5591688,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.569142,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.6188662,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.6688368,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.7190142,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.7689056,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.8193243,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.8691103,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.9192512,0.0,0.0,0.0,0.0,0.0,0.0
1788732084.9691963,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.0192008,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.074517,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.1188147,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.169285,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.2190979,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.2690682,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.319225,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.3690662,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.419317,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.4691944,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.5193844,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.5689597,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.6191335,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.6689456,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.718811,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.7687094,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.8189619,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.8698993,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.9188478,0.0,0.0,0.0,0.0,0.0,0.0
1788732085.9690578,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.018707,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.0700357,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.118814,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.1687987,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.218879,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.268911,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.3186505,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.3688052,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.4187467,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.4689429,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.518906,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.5689397,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.6189144,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.669357,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.7188761,0.0,0.0,0.0,0.0,0.0,0.0
1788732086.7688909,0.0,0.0,0.0,0.0,0.0,0.0
