x_m,y_m,samples,dwell_s
5.845467954910247,2.4100199351504745,404,40.399213
5.845467954910247,2.510019935150475,1,0.099865
5.945467954910247,2.510019935150475,1,0.100452
5.945467954910247,2.6100199351504747,2,0.199756
6.045467954910246,2.6100199351504747,1,0.100048
6.045467954910246,2.7100199351504752,2,0.199512
6.145467954910246,2.810019935150475,2,0.200463
6.145467954910246,2.9100199351504754,1,0.099986
6.245467954910246,2.9100199351504754,2,0.199797
6.245467954910246,3.010019935150475,1,0.100016
6.345467954910245,3.010019935150475,1,0.100428
6.345467954910245,3.1100199351504756,1,0.09948
6.445467954910245,3.1100199351504756,2,0.20012
6.445467954910245,3.2100199351504752,1,0.100133
6.545467954910245,3.2100199351504752,1,0.099681
6.545467954910245,3.3100199351504758,3,0.300313
6.645467954910244,3.4100199351504754,2,0.200192
6.645467954910244,3.510019935150476,1,0.099924
6.745467954910244,3.510019935150476,1,0.100025
6.745467954910244,3.6100199351504756,2,0.200041
6.8454679549102435,3.6100199351504756,1,0.099599
6.8454679549102435,3.710019935150476,3,0.300296
6.945467954910243,3.8100199351504758,2,0.200208
6.945467954910243,3.9100199351504763,1,0.099754
7.045467954910243,3.9100199351504763,2,0.200017
7.045467954910243,4.010019935150476,4,0.399786
6.945467954910243,4.1100199351504765,488,48.800521
7.045467954910243,4.1100199351504765,5,0.4993
7.1454679549102424,4.1100199351504765,123,12.300639
7.445467954910241,4.210019935150476,639,63.901013
