detail,kind,stamp
floor2,map_load_start,1788814310.0185664
floor2,map_load_done,1788814355.7441823
3.0m/20deg,scan_informative,1788814356.8392806
"floor2 2.7755,1.6500 yaw 55.40 fit 63.6%",localized,1788814379.7410417
f2_lift_door,leg_start,1788814379.7869084
f2_lift_door arrived 14s,leg_end,1788814393.2077806
f2_call_button,leg_start,1788814393.2592251
f2_call_button arrived 10s,leg_end,1788814403.7036228
the small round blue button on the metal call plate,press_start,1788814403.7564404
the small round blue button on the metal call plate,press_contact,1788814442.6831186
f2_lift_door,leg_start,1788814444.9036336
f2_lift_door arrived 12s,leg_end,1788814456.112636
open,doors_wait,1788814456.1652846
,doors_open,1788814462.621889
f2_car_at_panel,leg_start,1788814462.674074
f2_car_at_panel blocked 3s,leg_end,1788814465.5277097
