detail,kind,stamp
floor2,map_load_start,1788813847.7596047
floor2,map_load_done,1788813886.356367
3.0m/20deg,scan_informative,1788813889.4886935
"floor2 2.6786,1.3132 yaw 35.91 fit 69.6%",localized,1788813906.8580785
f2_lift_door,leg_start,1788813906.8776493
f2_lift_door arrived 14s,leg_end,1788813920.7797015
f2_call_button,leg_start,1788813920.8040504
f2_call_button arrived 10s,leg_end,1788813930.558861
the small round blue button on the metal call plate,press_start,1788813930.582719
the small round blue button on the metal call plate,press_completed,1788813948.6993725
f2_lift_door,leg_start,1788813950.1219902
f2_lift_door blocked 164s,leg_end,1788814114.5912333
