detail,kind,stamp
floor2,map_load_start,1788821405.173156
floor2,map_load_done,1788821448.5342584
3.0m/20deg,scan_informative,1788821450.1522934
"floor2 2.4855,1.5300 yaw 58.60 fit 60.8%",localized,1788821469.741078
f2_lift_door,leg_start,1788821469.7594628
f2_lift_door arrived 16s,leg_end,1788821485.5780206
f2_call_button,leg_start,1788821485.5977237
f2_call_button arrived 11s,leg_end,1788821496.5708144
the small round blue button on the metal call plate,press_start,1788821496.591764
the small round blue button on the metal call plate,press_contact,1788821525.366022
f2_lift_door,leg_start,1788821526.1834
f2_lift_door arrived 15s,leg_end,1788821541.271659
open,doors_wait,1788821541.2931626
,doors_open,1788821695.6263301
f2_car_at_panel,leg_start,1788821695.6442022
f2_car_at_panel ,leg_retry,1788821771.7293262
f2_car_at_panel none 97s,leg_end,1788821792.6679955
f2_car_panel,leg_start,1788821792.6899025
